check_stop,sentiment
harap sabar sikit dibolehkan rentas negeri amin,positive
smbng pkp sampai hujung bulan sampai zon hijau,neutral
alhamdulii kes menurun,positive
taniah tidak sedar,negative
duduk salahkan pru punca tapi netizen main peranan kes meningkat bukan reti ikut sop tinggi kes banyak bjalan kesana kesini makan balik kampung jadah facebook duduk kutuk menteri pasal tak lockdown bukan suka keluar berjalan jalan bawa kampung,negative
alhamdulillah kes sembuh tinggi semoga penurunan walaupun kes sembuh tinggi harap ikut sop jaga diri,positive
alhamdulli berkorban tak balik kampung tak janji kes zero tempoh lama,neutral
alhamdulillah kes sembuh ribu amin tak payah kkm kerja jangan peningkan kp,positive
simple cnt gv laptop promised students simple convenience way ask students go back school students take risks useless ministers wait see become unqualified reporter,negative
bayan keteranganku syarat seruan dakwah menyeru memandang rendah menyombongkan diri kalangan pembuat keputusan meremehkan tidak menerima azab seksaan namakannya virus corona tanda pembenaran mengesahkan bayan keterangan global dunia dikeluarkan tarikh rajab h biarkan mengendalikan menangani virus corona imam nasser mohamed,neutral
sekat rentas negeri kerja habis tidak kerja mane bayar hutang mane sarah hidup keluarga duduk rumah peting pkp setuju tapi hutang mane kerajaan bayar tidak kena bayar peting solat kena mudah wabak dunia tunggu wabak habis tidak habis pya cdg sop kena perketat contoh berkompol tidak boleh ramai limit kumpulan rentas negeri sekat berkeja pdrm kena pantau sop kawasan ramai kedai makan membeli belah sasi persekolahan pantau sop pdrm balik pelajar keluar sekolah sop kedai mamak kedai makan limit meja tidak boleh,negative
like wwa superstars released wwa april,neutral
tidak faham turun 🤔,negative
team failed miserably minimize covid impact moohidin cabinet please resign cases increases daily fatality,negative
semoga kes menurun kerajaan pertimbangkan rentas daerah negeri pkpb susah duduk kampung balai polis kebenaran cermin mata tak kampung kedai cermin mata tapi tak pilihan kedai baju made china habis nikah susah cari kain pergi beli kampung mall tak pergi balai polis tak hapuskan sekatan tak boleh rentas daerah tak duduk kampung daerah peta terbsar negeri tapi tak maju daerah jadi bandar may ease everything,positive
moh reporting numbers no action improve rising covid cases,negative
alhamdulillah jangan buka sempadan negeri tak raya buka sempadan negeri time raya,neutral
betultu tidak beza angkanya marilah membendong penularan wabak boleh semoga sinar menyinar amin,positive
sembang boleh kes naik salah kerajaan tapi tak salah virus merebak gatal hulu hilir pasal setkt keluar kejer tkpa mmng kena kejer pergi melancong tak musiboh sdng berlaku majoriti rakyat malaysia sakit harapkan kerajaan tapi rakyat tidak mainkan peranan kerajaan sndng usahakan pooraahh selagi duduk uboh tabiat suka langgar peraturan selagi kes covid tak turun pkp sebenornya rumoh bukan kerajaan fikir,negative
alhamdulillah syukur kes tempatan menurun 👍 kes sembuh ribu 👍 mati 👍,positive
tidak pkp ramai bercuti duit kwsp meningkat kes 🤦 🏻 ‍ ♀️,negative
sembuh ramai negara landai graf,negative
bila ribu tidur kejap wake ribu sampai,negative
tak berkesan vaksin angka menjunam tapi start naik 🤭 🤭 🤭 adakah vaksin angka naik rakyat paksa memgambil suntikan gamaknya vaksin angka boleh naik bila rakyat suntik adakah jaminan bebas covid adakah menerima suntikan tidak mengaparlu memakai mask penjarakan penting jaminan keselamatan rakyat mengambil suntikan vaksin,negative
kes kurang kematian tinggi 😔,negative
alhamdulillah kes menurun turun usaha semoga ramadhan syawal kenangan manis tidak lupakan perayaan berusaha berdoa terima kasih penghargaan tentera barisanhadapan jasa pengorbanan hanya membalasnya abaikan negatif tidak kudis kehidupan semoga istikamah perjuangan kejayaan milik semoga sinar rakyat malaysia amin,positive
memerangi corona contoh terbaik boleh masjid surau memutuskan rangkaian covid masjid surau snts mematuhi syariat ugama mematuhi sop snts memelihara kesucian kebersihan alhamdulillah terbaik masjid surau 👍 👍 👍,positive
pkp ramai mengamuk serba tidak kena salahkan kerajaan,negative
menurun graf alhmdlah,positive
alhamdulillah tapi belum selesa inshaal,positive
improving tomorrow ribu,positive
kkm mengurangkan ujian saringan ujian saringan harian turun menurunkan angka kadar jangkitan harian ramai frontliner perubatan berbicara mohon pencerahan maafkan sbgi rakyat marhaen mohon ketatkan sop pkp teramat risau cluster baru harian meningkat mendadak terima kasih,negative
banyak percentage positive penduduk semoga tidak follow ranking kes tinggi walaupun banyak sektor operasi semoga follow sop kurang kes,negative
pkp kurang efektif banding lockdown better pkp tak makna ramai keluar,negative
message swt pusat kuarantin covid penghuninya positif walaupun tiada bergeja tinggal sebumbung dewan berdekatan tanpa rawatan khusus,neutral
berganding bahu menyelamatkan negara ❤ ❤,positive
pkp pkpb pkpd tidak berkesan buang banyak masa banyak duit kerja maintain tidak boleh berniaga dibuang kerja makan,negative
alhamdulliah terima kasih frontliners beraya aidilfitri aidiladha menjalani ibadah puasa ramadhan kes sembuh melebihi kes positif,positive
tidak pyhlah perli case control pkp landaikan case tapi segelintir ahli politik bprangai tidak ambil port kerajaan prihatin salahkan pekerjaan terbaik,negative
harap boleh rentas negeri kekalkan jaga sop,neutral
lockdown minggu teruk bebenor 🛠,negative
jangan putus asa tunjukkan jalan rakyat malaysia bersatu hati mengatasi masalah kerjasama berjaya jangan bergatung barisanhadapan rakyat malaysia tidak bersatu hati gagal kerjasama terbaik nama tidak dimudharatkan namanya bumi langit mendengar,positive
pkp kali worst kereta banyak jalan jangan harap pkp minggu cmfm sampai brbulan,negative
harap tak pkp niaga goreng pisang suami tak ot mohon kwsp tak lulus anak rumah beli susu pmpers banyak kepala fikir,negative
kluster pekerja lagikah kluster komuniti action negeri kasihan frontliners marhaen kesana kemari necessities maybe kerja kereta basuh car wash tutup still sokong total lockdown kawal jangkitan especially,negative
tidak pkp kes sehari pkp masuk ribu kes tak tindakan harap rakyat jaga sampai sehari kes rakyat banyak bebal 🥲 pkp keluar rumah kena denda ribu baru tak berani keluar,neutral
angka turun adakah ujian saringan kurang kes turun,neutral
syukur kes aktif berkurang semoga berkurang,positive
safe take care,neutral
sembuh tinggi 🤙 bravo kkm ubat kkm power kalah covid,positive
duduk tak pelik banyak kes tidak letih pkp bulan 🤦 ‍ ♀️ 🤦 ‍ ♀️,negative
alhamdulillah 🤲 harap boleh berpuasa beraya rindukan 🤲,positive
selagi banyak saringan selagi kes banyak,negative
alhamdulillah syukur tengok kes sembuh tinggi kes baharu semoga melindungi syifa dijangkiti amin,positive
tengok rakyat seo lupa wabak covid sekeliling masyarakat ambil kesempatan kelonggaran pergerakan kenduri kahwin mesyuarat jamuan makan majlis bertunang 😢 😢 tidak lansung perasaan takut,negative
government minister follow talk big ministers show good example also wave,negative
kenapakah,negative
masyaal tinggi berdoa mghilangkan covid muka bumi allahu akbar,positive
keyboard warrior merata tak ambil vaksin tak payah ambil tak payah kecam bunda tak bunda baik positif better tak payah komen heboh agenda tak sahih,negative
malaysia tidak terkawal kes covid duduk rumah jaga sop tidak bawa anak terperuk rumah kesian anak jaga sop sekolah buka ilmu tapi kes banyak allahuakbar,negative
longgar naik lepselagigar naik bertabah,neutral
cucuk naik,negative
alhamdulillah semoga menurun fight green zone 🍃,positive
penting lindungi samping keluarga jaga diri mari berdoa diri keluarga,positive
astaqfirullahalazimm masanya wajibkan solat jumaat wajibkan solat jemaah masjid syarat ikut sop ketat solat sampai masjid tak patuh sop sampai masanya lawan menang kena bergantung covid tuannya semoga tuannya,positive
bagus saringan berkurang tidak mengaparlu saring majoriti tidak bergeja membazir resources hanya saring bergeja,negative
alhamdulillah kes active berkurangan vaksin berkesan,positive
jahit komedi cakap cepatkan pru ketagih jawatan,negative
well expect mco zero ridiculous not mco,negative
masjid sampai bila solat jarak shopping mall sardin menteri jangan memandai law bab agama,negative
doa jadi berdoa semoga ramadhan pulih sedia amin rabbal alamin,positive
temporary mco,neutral
kes kematian baharu belum rakyat patuh pkp sop takziah ahli keluarga pesakit terkorban,negative
pkp tidak pkp tengok bawa anak raga motor beli makan kedai bonceng berdua beli makan naik kereta berdua beli makan kedai hang pa tidak reti hantaq wakil,negative
cecah kes tidak hairan nama pkp sop longgar kanak bawah golongan berisiko dibenarkan awan dibenarkan bawa masuk pasaraya,negative
tak pkp kesian berniaga hilang sumber pendptn reinforcement undang berkuasa kerap rondaan pastikan ramai tuankedai hypermarket dll patuh sop degil denda kedai still buka tapi hadkan boleh masuk premis kedai pkp,neutral
🥱 🥱 🥱 malas malaysia saja sensasikan isu penyakit rakyat takut almaklum taktik politik kepentingan mata,negative
selagi kilang kluster banyak sumbangan positif dibuka selagi naik frontliner penat family,negative
berlaku kenaikan kes pkp ikut sop ditetapkan,negative
sek risau kes angka tak lgkh drastik kerajaan bendung penularan besaran please 😰,negative
moga covid cepat ramadhan rindu suasana ramadhan solat tarawih raya berkumpul family moga doa diangkat langit covid ramadhan amin doa moga bebas covid 🤲 🤲 🤲 🤲,positive
semoga negeri sembuh sediakala amin ❤,positive
pkp kali tak ketat tidak kali 😔 😔,negative
strictly lockdown week bring cases going take care stay safe malaysians,negative
keliling asia tenggara malaysia smpa sudahh,negative
setuju rentas negeri dikekalkan walaupun rentas daerah negeri kes covid menurun,positive
duduk diam dirumah tidak boleh,negative
difference whether third fourth wave number infections keep going play words,negative
expected cases come schools reopening,negative
kurung kes bsnyak tolongg bila habis,negative
jangan pkp baru bernafas perhimpunan awam diharamkan jangan sibuk pergi melancong time pekerja swasta tidak sanggup hadap cuti tanpa gaji faham 😢,negative
alhamdulillah indahnya ramadhan boleh bertarawih surau masjid boleh bertadarus qariah surau masjid,positive
naik balik turun sikit bila habis anak membesa umah,neutral
many tests conducted daily basis kkm provide visibility,negative
pkp kali kes banyak mall buka tapi masjid tutup try mall tutup masa pkp masjid dbuka kes turun mendadak tidak percaya try 😏,neutral
kerajaan pkpp pkpb pkpd pkp rakyat tak faham bahasa bila kerajaan kelongoran sikit rakyat lupa diri pergi melancung bawa anak bercuti program bapa tapi bila kerajaan perketatkan rakyat merungut bising pendapatan terjejas bila naik kes rakyat salahkan kerajaan tapi salah rakyat lupa daratan buka sekolah bapa meroyan alasan timbul risau hantar anak sekolah takut jangkitan sekolah tapi masa cuti bawa anak pergi bercuti tak perkataan covid elok anak berkeliaran sampai mati lemas tak perkataan risau tapi bila sekolah risau,negative
alhamdulillah bawah,positive
swasta tidak key 😏 😏 😏,negative
mohon kerajaan malaysia buatlah pkp sebenar tengok pkp ramai bawa anak pergi pasaraya bukan halang covid tapi,negative
kes sembuh banyak tidak jangan kes baru naik sokong angkat tgn,positive
duit tambahan bantuan isinar eloklah pkp tutup sektor kejap,neutral
covid deadly china introduced total lockdown curb spread effective measure painful people suffered whole country not affected wuhan good move malaysia locked election weeks allow people move around election whole country impacted sorry never learn lesson seri petaling case thinking covid small issue know not covid dangerous cripple whole country not handled properly,negative
kes icu alat bantuan pernafasan hospital alat,negative
kebanyakan kes kalangan pekerja kilang tapi kilang dibuka masa pkp harap kes kurang bertambah,negative
kkm explain kes malaysia kes warga asing campur dimasukkan kes harian tempatan tidak campur maknanya warga asing pandai sbbnya kes bukan warga tempatan rendah,negative
awat banyak,negative
inshaal menurun berdoa,positive
menyelamatkan malaysia kes harian tinggi,negative
kerajaan melaksanakan perintah kawalan pergerakan pkp kes positif covid mencecah angka menteri keselamatan seri ismail sabri yaakob kes meningkat kerajaan tiada pilihan mengembalikan pkp gus mengehadkan pergerakan kerajaan melaksanakan perintah kawalan pergerakan pkp kes positif covid mencecah angka menteri keselamatan seri ismail sabri yaakob kes meningkat kerajaan tiada pilihan mengembalikan pkp gus mengehadkan pergerakan berita harian julai,neutral
alhamdulillah terima kasih frontliners really appreciated hardworks,positive
allahamdulil syukur semoga menurun jaga,positive
alhamdulillah kes turun moga covid berkurangan lenyap muka bumi amin,positive
tunggu baru kaji balik jadi sampai bila pkp tidak endah sop merayau kluster kerja mencanak naik minggu 😩,negative
mean worse cos managed third wave well started relax much bring new high third wave,negative
boleh tidak post comment instagram kebanyakan comments sickening tiada benda baik cakap baik berdiam,negative
pkp negara mac baik berkesan sampai bulan jun berjaya turunkan sampai kes masa lihat bandar tinggal takut keluar kedai tutup jalan raya sunyi sepi hanya pasar pasaraya buka pkp zero kena kerajaan kena salurkan bantuan makanan keperluan terjejas,neutral
alhamdulillah kes aktif brkurang sembuh banyak semoga banyak sembuh kes aktif kurang,positive
moga kes baru berkurangan moga kes sembuh tinggi,positive
suruh sambut perayaan kemain turun 👍 👍,negative
pkp hanya tidak dibenarkan masyarakat makan kedai makan ataupon aktiviti bersukan kuntul,negative
alhamdulillah menurun kes baru,positive
tidak total lockdown try seminggu tengok result,neutral
tahniah tidak lama negara penduduk boleh pintas ranking negara penduduk 😏,negative
alhamdulillah menurun semoga menurun angka pesakit covid,positive
alhamdulillah negeri penurunan kes,positive
alhamduli mohon tak pelah jangan kbenaran rentas daerah dulu hold dulu sampai pulih sabar berkorban,positive
naik no 😏 pergi sop,negative
alhamdulillah kadar kes sembuh tinggi kes baru positif terbaik,positive
sia pkp balik pkp total lockdown kesian miskin real banyak tak pcya covid terlmbt kes lockdown beribu snng bendung,negative
jangan risau pkp tidak lanjutkan moga rakyat selamat,negative
kkm selidik tidak pasal virus covid dengar bulat binatang kebal virus penyakit sars menyerang makhluk hidup tidak kajian,negative
buka masjid umat islam boleh solat berjemaah,positive
champion nidi tangga,neutral
kena aktifkan kegiatan ekonomi sektor membantu kerajaan sop jagalah banyak kempen media red zone jangan masuk,positive
menyampah komen anggp covid penipu tengok kerajaan tak hairan means virus tak teruk agenda kerajaan dulu percaya lama tak percaya bila tengok kerajaan membiakkan virus covid anggp mainan kerajaan terima kasih,negative
sembuh imun tak payah vaksin,neutral
kluster kilang pembuatan baru tidak tutup kilang kawasan public suruh ikut sop kilang,negative
kkm mempertimbangkan doctor memgambil nyawa menghadapi cabaran covid kkm ambil perhatian nyawa risiko tinggi banyak doctor kontrak bukan permenant kerja semoga kkm boleh mempertimbangkan jasa sumbangan negara,neutral
penyakit baru ganti nama covid penyakit boleh sembuh tanpa ubat khusus covid,neutral
pkp minggu cuti cny kebanyakkan company cuti minggu total lockdown kurangkan keluar kesana kesini pkp zero tak pkp keluar berkerja 😟,negative
sakan aihh,negative
malas hanya berdoa keluarga dilindungi dijauhkan covid tidak keluar kmna hanya suami beli kperluan harian,negative
vaksin terbaik,positive
pkp zero longgar tengok ramai keluar kesana kesini pkpp tengok area port selagi tidak sekatan jalan raya selagi lahh ramai pandang rendah,negative
ambil contoh walaupun rentas daerah dibenarkan berwaspada patuh sop belum menang,neutral
alhamdulillah semoga esok lusa turun bawah ribu,positive
truskan kkm agka tak tidak semoga hjatmu trcapai,negative
geng iluminati lgg hentam kkm jangan tunggu lgg peluang adaa kkm salah tetekan jarum kes turun,neutral
die senang awal update kes tak banyak,neutral
ringgit claim fantastic job done years undetected,negative
tinggi sembuh alhamduli pkp kali memg ketat keluar takut,positive
syukur kes sembuh tinggi kes baru 😌,positive
prketat kwasan banyak trcetus kerebakan wabak bukan hijau tidak trdaya ekonomi menurun tidak rumah brkurung tapi pyakit tidak kurang,negative
kerajaan tidak pkpd seleuruh hairan peninga disuruh tutup premis kilang sah banyak kes meningkat dibiarkan beroperasi jangan hanya jaga temolok menteri fikir frontliners menunggu lumpuh,negative
kes aktif mngurang alhamdulillah harap klonggaran kerajaan penting jaga sop,positive
terkawal pkp tak rakyat marhain total lockdown kasi pkp besa,positive
😲 😲 mlonjk naik aiyoo sekolah dll buka jan mungkin zon trtntu mungkin,negative
alhamdulillah syukur masa tidak sampai seminggu tengok angka kali masa bulan moga tengok angka makbulkan ❤,positive
cerita jepun puji malaysia handle covid menangis bucu gamaknya,negative
premature jumping joy threat not spike happen time,negative
spa hujung pkp pkpb pkpp sambung pkp kesudahan hujung 🤣 🤣 🤣 🤣 🤣 🤣 🤣,negative
semoga mengangkat wabak pendemik pulih sedia terbaik,positive
suka pkp pemalas tiada kerja harap duit krajaan kerja swasta dpat duit gaji krajaan kmpung sin bela tiada,negative
terkawal ramai check hotel ramai swimming pool lepak santai syabass 👏 👏,negative
remove days quarantine control,negative
kawan positive covid dikurantin tempoh kurantin tidak makan ubat walaupun sembuh suruh balik adakah kes covid makan meja minum gelas tapi sampai sehat,negative
vaksin masuk maximum keberkesanan bulan maknanya raya baru bebas,negative
math kes sembuh new kes baharu,positive
syukur alhamdulillah semoga permudahkan kkm lindung diri lindung,positive
stress melampau kes ribu tidak lama sakit mental hilang fokus kes positif kerja kawasan kediaman seo terperangkap ketakutan 😭,negative
gov declare school close 🙄 dunno running inside brain 🙄 covid wipe young vulnerable generations hv no available vaccine hv god knows reach us dearest prec,negative
kerajaan ambil iktibar tetapkan pendirian selagi kes baharu covid banyak jangan benarkan pergerakan rentas negeri pkp pkpb positifnya bendung jangkitan covid negeri habis kes jangkitan kerajaan jangan tunduk desakan buka bebas sempadan negeri utamakan kemaslahatan,neutral
alhamdulillah harap ramai ambil vaksin ramadhan aidilfitri boleh beribadah antivaksin tak membantu agama duduk diam utan,positive
maybe kkm make rules everyone wants go house leisure holidays not worried abt spreading virus wear know pain front liners facing daily hospital im tired frontier tired advising,negative
kes baru kerajaan tak ketat darurat memng tak kesudahan virus merebak humm baik buruk pkp kena lakukan bukan salah sop tak ambk kisah allahuakbar mari berdoa semoga jauhi wabak malaysia pulih sedia patuh sop bersebab insyallah amin,positive
pkp gpo kerja diteruskan menyara hidup semoga dipermudahkan urusan rakyat malaysia,neutral
rmco sop tidak ketat melibatkan menteri barisan pimpinan kerajaan pelbagai program saringan tidak kalangan pekerja asing tanpa izin kes covid negara meningkat menjadikan malaysia negara top dunia tertinggi asia,negative
kes turun tapi kematian banyak tak memuaskan,negative
walaupun kes covid meningkat rakyat bertenang mematuhi norma baharu petikan buletin utama 🤭,neutral
turun moga boleh melayan syawal bahgia,positive
walaupun kes tidak menurun jaga keluarga duduk dirumah tiada keperlauan penting arahan andai memutuskan rangkaian covid,positive
alhamdulillah semoga covid sikit beransur lenyap muka bumi berdoa gembira berkerja amin,positive
pkp malas kerja,negative
turun angka sampai cny lpastu naik balik agka raya puasa cantik susun atur kkm best 👏 🏻 👏 🏻 👏 🏻 👏 🏻,negative
result saringan amboi baru boleh rentas daerah tak kena dahsyat kowng sekurang minggu doa elok,negative
tidak fahamlah malaysia pkp bising tidak pkp bising,negative
penangan awal senang 😁,positive
alhamdulillah jangan duduk lorat cross state frontliners rehat,neutral
selagi tak ikut sop tak ikut kitajagakita tak pakai mask sop lewa jaga sop penat tegur pikirlah pulih hipokrit selfish tolglah bantu sifarkan rantaian covid,negative
vietnam kematian less sop tidak ketat swab test tidak banyak tapi covid contagious virulent setahun populasi vietnam tinggal tapi thriving vietnam fdi banyak tinggalkan msian vietnam flourishing pelik ajaib,negative
tak payah aca salahkan kes naik balik kampung tak balik kampung jaga tua anak bini lelaki duduk kampung covid nasib kena duduk tanah tak keluar,negative
mantop shawal mdnor,negative
semoga cepat reda covid kampung ry,negative
keluar pergi kerja bising berseronok sakan bercuti pusing malaysia mkn angin tak bising kes positif ribu muncul start bulan horahoreyy rentas negeri tak payah bising pertikaikan keluar,negative
pkp tapi sektor essential kena kerja bukan pkp jalan penuh,negative
kkm positif covid doktor cakap ambulance ambek mereput tiada elok positif kejap agi rumah positif,neutral
still no mco,neutral
jangan benarkan rentas negeri kes menurun digi lama kes menurun mf hanya pandangan,neutral
point reporting,negative
selagi tidak lockdown selagi kes meningkat sang pemerintah fikir nyawa penting wang,negative
mudah cepat boleh rentas negeri lama tidak jumpa saudara mara,neutral
alhamdulillah semoga kekurangan kes esa doa rintihan umatnya dengar diterima banyak bersabar berdoa,positive
politik sibuk berkempen rebut jawatan bukan fikir masaal covid salahkan rakyat tengok bergambar tak ikut sop rakyat nampak salahya jadi mangsa rakyat tapi segelintar rakyat tidak sob politik nama sanggop,negative
syukur alhamdulillah moga raya 🤗 rindu suasana raya 🤗,positive
minggu pkp tapi kes tidak turun sambung pkpb malaysia patuh sop tidak kebnyakan negeri malaysia pkpb bulan october tapi gagal kawal kenaikan kes harian serious ar,negative
sabar baru pkp aktif kes jangkitan minggu pkp berkesan tidak tunggu pkp,neutral
pakej rangsangan ekonomi sektor pelancongan buka pintu zon merah pemindahan kena tahan penjara zon merah zon hijau membawa kes meledak dipantai timur susah kawal tarik selimut pendek tarik kepala kaki terbuka tarik kaki kepala terbuka harapan vaksin menemui pesakit bergeja dirawat jaringannya mari doakan moga ikhtiar terkini kkm mohon lindungi permudahkan proses rawatan kekuatan frontliner mohon jangan sanggup meletakkan anak frontliner diseko amin,negative
duduk lama kkgi rakya malaysia reboh lake,negative
baik tamat pkp tiada penurunan kes,negative
alhamdulillah harap bulan puasa kes turun jadi angka mohon boleh rentas negeri boleh beraya,positive
alhamdulillah semoga negeri turun kes,positive
kurang kes harian ramai sembuh alhamdulillah usaha rakyat malaysia menang walaupun belum menang,positive
negeriku podium no,negative
naik turun naik turun naik turun naik turun naik turun naik tetiba terimagina lagu blues gang 😅,negative
help people get tested affordable way tests not cheap though,negative
tidak stabil,negative
pkp balik tutup rentas negeri daerah please,negative
kes baru naik dipersimpangan memilih ekonomi kesihatan wabak tidak terkawal ekonomi tidak dijana rakyat hanya berdoa terhindar covid,negative
buka sekolah tidak risiko,negative
perati komen pkp kes mencanakk 😅 😅 mngandung esok beranak hadui baru seharii uii,negative
tidak faham rakyat malaysia kes positif harian turun banyak komplen haa,negative
sekolah buka takut hantar anak tak payah hantar senang tak habis bising tak buka sekolah kpm tidak kisah murid,negative
bimbang kes digit sehari kemudahan kesihatan negara lumpuh rakyat jangkiti tidak rawat rakyat tidak boleh salahkan kerajaan kelonggaran rakyat bergerak bebas mari,negative
fikirkan puasa lr pergi terawih,neutral
menurun bah 🤩 berabis lawan sampai zero 🤩,positive
boleh rentas daerah isnin 😀 😀 😀,neutral
kali petama angkat 🤲 amin,positive
klaw kes sembuh meningkat keatas minggu covid hilang dimuka bumi malaysia rakyat malaysia berdoaa bulan puasa,positive
normal tak pelik penuh cameron genting penuh malaysia boleh yihaa,negative
alhamdulillah cuaca panas ramai tidak keluar harap turun raya 😭,positive
pledge health ministry advise government pkp stop worst worried tell us cases high blame think young children eldery people realy hate see update no solutions something stop,negative
ribu hospital rawat penyakit covid,negative
no immediate actions taken,neutral
🤲 🤲 🤲 🤲 hu akbar isnin menteri bgthu resultnya cmnee semoga jauhknlah lockdown pkpb diketatkan ikut sop kenderaan keluar beli barang bolee keluar beli barang stop keluar rentas negeri inyalaalah covid berkurangan amin rabbil alamin semoga menteri anggota penjawat awam didlm siht sejahtera dilindungi tuhan,positive
nampaknya mencapai kes esok,negative
alhamdulillah harap esok kes sembuh meningkat kes baharu menurun,positive
alhamdulillah syukur semoga berkurangan amin,positive
pkp tapi company surat kerja 😓,negative
berat mata memandang berat bahu memikul,negative
dengar cerita budak sekolah kena covid subang kes tinggi sekolah buka,negative
terkawal hang,negative
menyusahkan bah pkp sambung jadi kerja tidak gaji anak kasih mkn pkp tapi buka shopping berjalan bagus tidak payah pkp jaga diri sampai bila pkp lockdown alang tidak bulih bukih,negative
need action talk till cows come home still no action malaysia famous,negative
batuk dimasuk ramai penipu,negative
dulunya teruk banyak turun mengatasinya,negative
alhamdulillah syukur nampak menurun berkat ramai rakyat malaysia baca yasin malam mari doa tak agama doa ikut agama covid lenyap,positive
kluster tapak bina kilang kerja tapi tidak tutup bos bodo surat mintidak mengapakerja pejabat pekerja asing bebas menteri bergaji penuh salahkan rakyat denda tutup ruang perniagaan lumpuhkan pendapatan rakyat,negative
welcome covid batu caves patung tuhan thaipusam sampai subuh since area batu caves sesak kasihan kkm keras 🤦 ‍ ♀️ 🤦 ‍ ♀️ allahuakhbar semoga dilindungi swt amin,negative
allahuakbar covid sampai tak setel aptah ribu tidak boleh byng bpa lame covid setel bpa hadap bunda ambil serius bunda bukan main owg boleh gelak ketawa muhasabah diri tak penat hadap bunda belum menang,negative
alhamdulillah 😢 😢 semoga cepat covid hilang rindu covid 😢,positive
pkp bantu kkm frontliners kurang penularan covid,neutral
kes kurang bila tested kurang peratusan tinggi kurang bermakna ribu kes positif bila tested bila tested,negative
bila kes tinggi kesian frontliner pah menteri tak bukan bertugas handle kes covid ekonomi kukuh alasan tak pkp kes harian tak seteruk boleh pkp kes mkn baik terkawal kes harian zero jangan harap kes angka sekolah buka,negative
alhamdulillah turun trend menurun berterusan syaa pulih,positive
kaji pembukaan sek mohon,neutral
petanda pkp sampai bulan,neutral
kali pkp tidak pkp nampak,negative
pkp zero tidak banyak kedai sektor buka full tutup turungkan kes min mungkin berterusan ramai rakyat malaysia susah kilang benarkan buka tapi perniagaan kedai makan kasi operasi hanya sampai malam sop kilang tapak pembinaan tidak langsun,negative
kkm kilang ramai positif kilangnya dibenarkan tutup minggu tak positif kerja tak positif kerja tak ramai kena covid kilang dicutikan bukan lama minggu semburan tak sembur kerja kkm kilang positif masuk sistem kkm boleh kilang berepa ramai kena ambil tindakan,negative
covid dimalaysia kkm rekod tidak bila kematian,neutral
alhamdulillah kes sembuh mengatasi mengikuti sop kes sembuh bertambah,positive
tak wajar angka sekolah dibuka keboleh jangkitan boleh bahayakan nyawa anak keseko,negative
jangan panik jangan tengok kes baru tengok sembuh capai ribu sembuh,positive
great derivations countries states air suam baselina stay tune,neutral
rebut no warga asing banyak kilang peduli janji kerja duit saman dinaikkan no rakyat tidak boleh air tidak covid tidak turun terima asahaja mb pkr 😀,negative
akai dai kemaya ulih pulai menua,negative
semoga kes covid turun angka sek dibuka mac pra,positive
carta kematian carta bayi baru lahir tidak 🤔 mati hidup bila tidak,negative
tidak yah pkp kesian susah tidak kija covid boleh sembuh tidak bahaya mati bukan covid,negative
start mco balik keluar tak uti merayau malaysia covid bukan reda tapi merisaukan bukan hanya ikut sop tapi kena peka sekeliling kawan positive fam anak kena pergi kerja tak positive sampai demam batuk check office kena start swabtest result tak beringat reda esok enjoy selagi,negative
hu akhbar angka kematian nek tnggi kes kematian menyaksikan banyak kes kematian berlaku tnda dijanjikannya 😭 😭 swt menguji mari berdoa semoga swt mempermudahkan kesulitan mghadapi wabak covid bgaikan tiada pnghujungnya bila brakhirnya 😭 😭 tiada daya upaya mghadapi musibah kudrat hanya pertolongan darinya esa semoga swt mngangkat wabak covid hilang lenyap muka bumi ameenn rabbal lameenn 😭 😭 😭 😭 😭,negative
tidak perancangan kerajaan pkp masak benarkan construction perkilangan minggu pkp bahagian construction pembinaan penyumbang terbesar kes harian bila kes harian naik masa pkp dilanjutkan lama rakyat terkurung rumah buatlah pkp setahun kes tinggi benarkan sektor,negative
walaupun kes baru menurun jangan syoq keputusan swab esok lusa baru keluar covid dimana,negative
kesian kkm mco tapi tengok tak mco 😔,negative
bila start pkp sampai bila tidak turun kes covid pkp minggu,neutral
rindu merindui sianak meridui bapa si bapa merindui anak cucu cucunya,negative
detail pkp tak keluar,neutral
tamatkan pkp kes turun duduk rumah kes naik keluar balik kampung kes turun,negative
naik kes tidak kes,negative
pkp tidak pkp darurat tidak darurat menguntung tidak covid angka pkp zero terbaik,negative
alhamdulillah kes sembuh tinggi berbanding kes baru 👍 🏻,positive
buka rentas negeri walai kkm kehidupan sampai bila hidup bawah kawalan kkm mkn menteri hormati hak perlembagaan persekutuan,negative
kilang tutup kes banyak peniaga buka hairan menyumbang kes banyak boleh buka bila berhentinya,negative
kasi full lockdown kerajaan bantu peniaga terjejas full lockdown tidak sampai bila tunggu sebulan pkp tapi kes naik,negative
kluster rawa akasia kawasan boleh detail,neutral
kerajaan wajibkan malaysia pergi swab test jalan asingkan positif sah belum swab test duduk berjalan pergi kerja tanpa sedar positif,negative
alhamdulillah kes baru turun kes sembuh banyak meningkat kes kematian tengok konsisten harap everything okay 👍,positive
office kes positive office tutup sehari,negative
alhamdulillah kes baru tnggi tapi kes sembuh tnggi alhamdulillah total kes menurun negara bebas covid tak lama,positive
